第 86
86 章
章 受
受 私贿
私贿 老官
老官 翻
翻 案牍
案牍 寄
寄 闲情
闲情 淑女
淑女 解
解 琴书
琴书 话
话 说
说 薛姨妈
薛姨妈 听了
听了 薛蝌
薛蝌 的
的 来
来 书
书 因叫
因叫 进
进 小厮
小厮 问道
问道 你
你 听见
听见 你
你 大爷
大爷 说
说 到底
到底 是
是 怎么
怎么 就
就 把
把 人
人 打死
打死 了
了 呢
呢 小厮
小厮 道
道 小
小 的
的 也
也 没
没 听
听 真切
真切 那
那 一日
一日 大爷
大爷 告诉
告诉 二爷
二爷 说
说 说着
说着 回头
回头 看了
看了 一看
一看 见
见 无人
无人 才
才 说道
说道 大爷
大爷 说
说 自从
自从 家里
家里 闹
闹 的
的 特
特 利害
利害 大爷
大爷 也
也 没
没 心肠
心肠 了
了 所以
所以 要
要 到
到 南边
南边 置
置 货去
货去 这日
这日 想着
想着 约
约 一个人
一个人 同行
同行 这人
这人 在
在 咱们
咱们 这
这 城南
城南 二
二 百多
百多 地住
地住 大爷
大爷 找
找 他
他 去了
去了 遇见
遇见 在
在 先
先 和
和 大爷
大爷 好
好 的
的 那个
那个 蒋玉函
蒋玉函 带
带 着
着 些小
些小 戏子
戏子 进城
进城 大爷
大爷 同
同 他
他 在
在 个
个 铺子
铺子 里
里 吃饭
吃饭 喝酒
喝酒 因为
因为 这当
这当 槽
槽 儿
儿 的
的 尽
尽 着
着 拿
拿 眼
眼 瞟
瞟 蒋玉函
蒋玉函 大爷
大爷 就
就 有了
有了 气
气 了
了 后来
后来 蒋玉函
蒋玉函 走
走 了
了 第二天
第二天 大爷
大爷 就
就 请
请 找
找 的
的 那个
那个 人
人 喝酒
喝酒 酒后
酒后 想起
想起 头
头 一天
一天 的
的 事来
事来 叫
叫 那
那 当槽
当槽 儿
儿 的
的 换
换 酒
酒 那当
那当 槽
槽 儿
儿 的
的 来
来 迟
迟 了
了 大爷
大爷 就
就 骂
骂 起来
起来 了
了 那个
那个 人
人 不依
不依 大爷
大爷 就
就 拿
拿 起酒
起酒 碗
碗 照
照 他
他 打
打 去
去 谁知
谁知 那个
那个 人
人 也是
也是 个
个 泼皮
泼皮 便
便 把头
把头 伸过来
伸过来 叫
叫 大爷
大爷 打
打 大爷
大爷 拿
拿 碗
碗 就
就 砸
砸 他的
他的 脑袋
脑袋 一下子
一下子 就
就 冒
冒 了
了 血
血 了
了 躺
躺 在
在 地下
地下 头里
头里 还
